# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-3.929143e+00 1.635356e-06 1.635356e-06 6.433024e-08 6.933303e-08 5.832737e-01 1.216846e+00 1.635356e-02 1.635356e-02 3.255772e-07 2.118939e-07 -2.684152e-07 -2.690559e-07 -3.475796e-05 9.999920e-01 9.984563e-01
-3.926857e+00 1.609719e-06 1.609719e-06 3.814367e-08 4.011031e-08 5.827409e-01 1.215857e+00 1.609719e-02 1.609719e-02 1.924376e-07 1.219516e-07 -1.568820e-07 -1.575072e-07 -2.189387e-05 9.999920e-01 9.984649e-01
-3.924571e+00 1.598469e-06 1.598469e-06 2.478992e-08 2.756802e-08 5.824706e-01 1.215435e+00 1.598469e-02 1.598469e-02 1.248645e-07 8.348155e-08 -1.038636e-07 -1.044824e-07 -1.294455e-05 9.999921e-01 9.984697e-01
-3.922286e+00 1.593055e-06 1.593055e-06 1.810719e-08 1.942632e-08 5.823354e-01 1.215162e+00 1.593055e-02 1.593055e-02 9.109325e-08 5.867445e-08 -7.457568e-08 -7.519203e-08 -1.017504e-05 9.999921e-01 9.984718e-01
-3.920000e+00 1.590450e-06 1.590450e-06 1.372337e-08 1.494844e-08 5.822469e-01 1.215012e+00 1.590450e-02 1.590450e-02 6.899333e-08 4.504361e-08 -5.671064e-08 -5.732630e-08 -7.529227e-06 9.999921e-01 9.984731e-01
-3.917714e+00 1.589365e-06 1.589365e-06 1.088778e-08 1.194955e-08 5.821898e-01 1.214912e+00 1.589365e-02 1.589365e-02 5.471535e-08 3.593529e-08 -4.501734e-08 -4.563329e-08 -5.908039e-06 9.999921e-01 9.984742e-01
-3.915429e+00 1.589173e-06 1.589173e-06 9.023893e-09 9.719873e-09 5.821523e-01 1.214838e+00 1.589173e-02 1.589173e-02 4.533682e-08 2.917861e-08 -3.694930e-08 -3.756613e-08 -5.083844e-06 9.999921e-01 9.984751e-01
-3.913143e+00 1.589542e-06 1.589542e-06 7.681096e-09 8.118714e-09 5.821252e-01 1.214784e+00 1.589542e-02 1.589542e-02 3.858624e-08 2.433192e-08 -3.115003e-08 -3.176812e-08 -4.483783e-06 9.999921e-01 9.984753e-01
-3.910857e+00 1.590279e-06 1.590279e-06 6.553955e-09 7.143913e-09 5.821026e-01 1.214752e+00 1.590279e-02 1.590279e-02 3.292702e-08 2.137874e-08 -2.684309e-08 -2.746267e-08 -3.630894e-06 9.999921e-01 9.984758e-01
-3.908571e+00 1.591271e-06 1.591271e-06 5.700890e-09 6.387905e-09 5.820854e-01 1.214727e+00 1.591271e-02 1.591271e-02 2.864619e-08 1.909092e-08 -2.355793e-08 -2.417918e-08 -3.002402e-06 9.999921e-01 9.984761e-01
-3.906286e+00 1.592443e-06 1.592443e-06 5.215547e-09 5.497513e-09 5.820757e-01 1.214697e+00 1.592443e-02 1.592443e-02 2.620907e-08 1.640573e-08 -2.099587e-08 -2.161892e-08 -3.078081e-06 9.999921e-01 9.984762e-01
-3.904000e+00 1.593747e-06 1.593747e-06 4.692973e-09 5.017629e-09 5.820652e-01 1.214681e+00 1.593747e-02 1.593747e-02 2.358915e-08 1.495593e-08 -1.896007e-08 -1.958501e-08 -2.708464e-06 9.999921e-01 9.984765e-01
-3.901714e+00 1.595151e-06 1.595151e-06 4.324786e-09 4.540161e-09 5.820578e-01 1.214665e+00 1.595151e-02 1.595151e-02 2.174343e-08 1.351604e-08 -1.731629e-08 -1.794319e-08 -2.578874e-06 9.999921e-01 9.984766e-01
-3.899429e+00 1.596630e-06 1.596630e-06 3.929078e-09 4.306165e-09 5.820498e-01 1.214657e+00 1.596630e-02 1.596630e-02 1.976167e-08 1.280844e-08 -1.597060e-08 -1.659951e-08 -2.177471e-06 9.999921e-01 9.984766e-01
-3.897143e+00 1.598169e-06 1.598169e-06 3.676717e-09 3.986251e-09 5.820448e-01 1.214647e+00 1.598169e-02 1.598169e-02 1.849777e-08 1.184443e-08 -1.485561e-08 -1.548659e-08 -2.081548e-06 9.999921e-01 9.984767e-01
-3.894857e+00 1.599756e-06 1.599756e-06 3.461954e-09 3.723995e-09 5.820404e-01 1.214638e+00 1.599756e-02 1.599756e-02 1.742265e-08 1.105438e-08 -1.392197e-08 -1.455506e-08 -1.990388e-06 9.999921e-01 9.984768e-01
-3.892571e+00 1.601381e-06 1.601381e-06 3.268320e-09 3.522455e-09 5.820366e-01 1.214631e+00 1.601381e-02 1.601381e-02 1.645376e-08 1.044721e-08 -1.313287e-08 -1.376809e-08 -1.875427e-06 9.999921e-01 9.984769e-01
