# ###########
# [default parameters]
#   dict([('NL', '20'), ('NR', '25'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'eta_NL', 'commL', 'commR']
# ###########
# 
7.066360e-01 2.517601e-05 2.517601e-05 5.785377e-01 1.220829e+00 -8.641450e-07 4.030076e-07 2.186987e-07 2.424387e-07 -6.864828e-03 5.335868e-03 -0.022649283 9.999999e-01 9.999937e-01
7.066480e-01 2.517706e-05 2.517706e-05 5.784945e-01 1.220903e+00 -8.749345e-07 4.096211e-07 2.207871e-07 2.445263e-07 -6.950251e-03 5.423205e-03 -0.022959387 9.999999e-01 9.999937e-01
7.066600e-01 2.517817e-05 2.517817e-05 5.786770e-01 1.220348e+00 -8.293162e-07 3.597091e-07 2.229435e-07 2.466636e-07 -6.587582e-03 4.762183e-03 -0.021251007 9.999999e-01 9.999937e-01
7.066720e-01 2.517925e-05 2.517925e-05 5.783760e-01 1.221136e+00 -9.045478e-07 4.306494e-07 2.250792e-07 2.488191e-07 -7.184867e-03 5.701115e-03 -0.023862456 9.999999e-01 9.999937e-01
7.066840e-01 2.518039e-05 2.518039e-05 5.783334e-01 1.221206e+00 -9.152114e-07 4.368940e-07 2.272893e-07 2.510280e-07 -7.269240e-03 5.783523e-03 -0.024163542 9.999999e-01 9.999937e-01
7.066960e-01 2.518155e-05 2.518155e-05 5.782837e-01 1.221294e+00 -9.276337e-07 4.448135e-07 2.295411e-07 2.532791e-07 -7.367565e-03 5.888086e-03 -0.024525936 9.999999e-01 9.999937e-01
7.067080e-01 2.518275e-05 2.518275e-05 5.782466e-01 1.221346e+00 -9.369033e-07 4.494901e-07 2.318385e-07 2.555748e-07 -7.440833e-03 5.949707e-03 -0.024773976 9.999999e-01 9.999937e-01
7.067200e-01 2.518399e-05 2.518399e-05 5.782763e-01 1.221211e+00 -9.294859e-07 4.373805e-07 2.341881e-07 2.579172e-07 -7.381561e-03 5.789134e-03 -0.02442384 9.999999e-01 9.999937e-01
7.067320e-01 2.518527e-05 2.518527e-05 5.783316e-01 1.221004e+00 -9.156567e-07 4.187551e-07 2.365910e-07 2.603106e-07 -7.271367e-03 5.542328e-03 -0.023842719 9.999999e-01 9.999937e-01
7.067440e-01 2.518657e-05 2.518657e-05 5.782790e-01 1.221096e+00 -9.287967e-07 4.270244e-07 2.390268e-07 2.627455e-07 -7.375334e-03 5.651483e-03 -0.024224004 9.999999e-01 9.999937e-01
