# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.061600e+00 5.280852e-06 5.280852e-06 5.815787e-01 2.689414e-01 -9.791689e-08 8.544545e-14 5.214099e-08 4.577581e-08 -3.708374e-03 3.236048e-09 1.000000e+00 4.621172e-01
2.063000e+00 5.274600e-06 5.274600e-06 5.815756e-01 2.689414e-01 -9.868028e-08 7.084702e-12 5.253921e-08 4.613398e-08 -3.741716e-03 2.686347e-07 1.000000e+00 4.621171e-01
2.064400e+00 5.268361e-06 5.268361e-06 5.815725e-01 2.689414e-01 -9.944064e-08 1.776864e-12 5.294222e-08 4.649664e-08 -3.775012e-03 6.745415e-08 1.000000e+00 4.621172e-01
2.065800e+00 5.262134e-06 5.262134e-06 5.815694e-01 2.689414e-01 -1.002148e-07 8.321722e-13 5.335007e-08 4.686386e-08 -3.808902e-03 3.162869e-08 1.000000e+00 4.621172e-01
2.067200e+00 5.255921e-06 5.255921e-06 5.815662e-01 2.689414e-01 -1.009988e-07 2.612337e-13 5.376287e-08 4.723572e-08 -3.843241e-03 9.940550e-09 1.000000e+00 4.621172e-01
2.068600e+00 5.249720e-06 5.249720e-06 5.815630e-01 2.689414e-01 -1.017930e-07 5.763609e-14 5.418067e-08 4.761229e-08 -3.878036e-03 2.195778e-09 1.000000e+00 4.621172e-01
2.070000e+00 5.243533e-06 5.243533e-06 5.815597e-01 2.689414e-01 -1.025973e-07 9.042689e-14 5.460358e-08 4.799366e-08 -3.913291e-03 3.449083e-09 1.000000e+00 4.621172e-01
2.071400e+00 5.237358e-06 5.237358e-06 5.815563e-01 2.689414e-01 -1.034269e-07 1.529203e-11 5.503167e-08 4.837990e-08 -3.949582e-03 5.839598e-07 1.000000e+00 4.621171e-01
2.072800e+00 5.231196e-06 5.231196e-06 5.815531e-01 2.689414e-01 -1.042363e-07 1.142502e-13 5.546504e-08 4.877112e-08 -3.985179e-03 4.368033e-09 1.000000e+00 4.621172e-01
2.074200e+00 5.225047e-06 5.225047e-06 5.815497e-01 2.689414e-01 -1.050712e-07 3.853070e-14 5.590378e-08 4.916737e-08 -4.021827e-03 1.474846e-09 1.000000e+00 4.621172e-01
